#safe_timer,msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,taskfin_librbd
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
10.00,7.50,5.00,2.70,2.50,2.50,2.50,2.50
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
20.00,15.00,10.00,5.40,5.00,5.00,5.00,5.00
