#safe_timer,msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,taskfin_librbd
12.00,9.00,6.00,3.40,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.40,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.40,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.40,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.40,3.00,3.00,3.00,3.00
12.00,9.00,6.00,3.40,3.00,3.00,3.00,3.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
8.00,6.00,4.00,2.20,2.00,2.00,2.00,2.00
7.20,5.40,3.60,2.00,1.80,1.80,1.80,1.80
7.20,5.40,3.60,2.00,1.80,1.80,1.80,1.80
6.40,4.80,3.20,1.80,1.60,1.60,1.60,1.60
5.60,4.20,2.80,1.60,1.40,1.40,1.40,1.40
5.20,3.90,2.60,1.50,1.30,1.30,1.30,1.30
4.80,3.60,2.40,1.40,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.40,1.20,1.20,1.20,1.20
4.40,3.30,2.20,1.30,1.10,1.10,1.10,1.10
4.40,3.30,2.20,1.30,1.10,1.10,1.10,1.10
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
8.00,6.00,4.00,2.40,2.00,2.00,2.00,2.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
5.60,4.20,2.80,1.60,1.40,1.40,1.40,1.40
4.80,3.60,2.40,1.40,1.20,1.20,1.20,1.20
4.40,3.30,2.20,1.30,1.10,1.10,1.10,1.10
4.40,3.30,2.20,1.30,1.10,1.10,1.10,1.10
4.40,3.30,2.20,1.30,1.10,1.10,1.10,1.10
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
4.00,3.00,2.00,1.20,1.00,1.00,1.00,1.00
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.60,2.70,1.80,1.10,0.90,0.90,0.90,0.90
3.20,2.40,1.60,1.00,0.80,0.80,0.80,0.80
3.20,2.40,1.60,1.00,0.80,0.80,0.80,0.80
3.20,2.40,1.60,1.00,0.80,0.80,0.80,0.80
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
