#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
65.40,52.00,23.30,0.00,0.00,0.00,0.00,0.00
65.80,52.50,24.30,0.00,0.00,0.00,0.00,0.00
66.00,52.70,23.00,0.00,0.00,0.00,0.00,0.00
65.80,52.20,23.60,0.00,0.00,0.00,0.00,0.00
65.40,52.30,23.30,0.00,0.00,0.00,0.00,0.00
65.20,51.80,23.50,0.00,0.00,0.00,0.00,0.00
66.00,52.30,23.30,0.00,0.00,0.00,0.00,0.00
65.80,52.20,24.00,0.00,0.00,0.00,0.00,0.00
65.40,51.70,24.30,0.00,0.00,0.00,0.00,0.00
65.50,52.20,23.90,0.00,0.00,0.00,0.00,0.00
65.40,52.00,23.00,0.00,0.00,0.00,0.00,0.00
66.80,52.80,23.90,0.00,0.00,0.00,0.00,0.00
65.70,52.30,23.30,0.00,0.00,0.00,0.00,0.00
65.80,51.80,23.60,0.00,0.00,0.00,0.00,0.00
66.60,52.70,23.30,0.00,0.00,0.00,0.00,0.00
65.70,51.70,23.30,0.00,0.00,0.00,0.00,0.00
66.10,52.80,23.60,0.00,0.00,0.00,0.00,0.00
65.40,51.70,23.40,0.00,0.00,0.00,0.00,0.00
65.80,52.50,23.30,0.00,0.00,0.00,0.00,0.00
53.40,46.70,13.30,0.00,0.00,0.00,0.00,0.00
75.60,53.70,23.70,0.00,0.00,0.00,0.00,0.00
72.70,51.80,23.20,0.00,0.00,0.00,0.00,0.00
74.70,53.70,23.60,0.00,0.00,0.00,0.00,0.00
73.10,52.50,23.60,0.00,0.00,0.00,0.00,0.00
74.70,53.70,23.00,0.00,0.00,0.00,0.00,0.00
73.70,52.50,24.00,0.00,0.00,0.00,0.00,0.00
65.30,53.00,26.30,0.00,0.00,0.00,0.00,0.00
64.10,54.50,26.20,0.00,0.00,0.00,0.00,0.00
67.40,53.30,23.70,0.00,0.00,0.00,0.00,0.00
67.80,53.50,24.60,0.00,0.00,0.00,0.00,0.00
66.60,54.30,24.60,0.00,0.00,0.00,0.00,0.00
67.80,53.50,23.90,0.00,0.00,0.00,0.00,0.00
69.00,54.30,24.60,0.00,0.00,0.00,0.00,0.00
66.80,52.80,23.90,0.00,0.00,0.00,0.00,0.00
68.30,53.70,24.60,0.00,0.00,0.00,0.00,0.00
66.80,52.80,23.90,0.00,0.00,0.00,0.00,0.00
67.40,52.70,23.70,0.00,0.00,0.00,0.00,0.00
67.50,53.20,25.50,0.00,0.00,0.00,0.00,0.00
67.40,53.30,24.30,0.00,0.00,0.00,0.00,0.00
67.10,53.80,25.00,0.00,0.00,0.00,0.00,0.00
65.70,54.30,24.00,0.00,0.00,0.00,0.00,0.00
66.40,55.10,25.20,0.00,0.00,0.00,0.00,0.00
68.00,53.70,24.00,0.00,0.00,0.00,0.00,0.00
67.00,53.70,24.30,0.00,0.00,0.00,0.00,0.00
67.50,53.50,24.20,0.00,0.00,0.00,0.00,0.00
64.60,53.30,23.60,0.00,0.00,0.00,0.00,0.00
66.10,54.80,24.60,0.00,0.00,0.00,0.00,0.00
67.70,53.30,24.00,0.00,0.00,0.00,0.00,0.00
66.10,52.20,24.90,0.00,0.00,0.00,0.00,0.00
60.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00
73.00,55.30,25.00,0.00,0.00,0.00,0.00,0.00
70.10,53.20,24.90,0.00,0.00,0.00,0.00,0.00
71.30,56.30,26.00,0.00,0.00,0.00,0.00,0.00
69.50,54.80,24.30,0.00,0.00,0.00,0.00,0.00
70.30,55.70,25.30,0.00,0.00,0.00,0.00,0.00
69.20,54.50,24.30,0.00,0.00,0.00,0.00,0.00
69.70,53.00,25.60,0.00,0.00,0.00,0.00,0.00
71.80,54.80,24.90,0.00,0.00,0.00,0.00,0.00
71.40,54.00,24.30,0.00,0.00,0.00,0.00,0.00
72.60,54.70,25.30,0.00,0.00,0.00,0.00,0.00
70.40,53.50,23.90,0.00,0.00,0.00,0.00,0.00
71.40,54.70,24.30,0.00,0.00,0.00,0.00,0.00
71.00,55.80,25.50,0.00,0.00,0.00,0.00,0.00
69.40,55.30,24.70,0.00,0.00,0.00,0.00,0.00
70.10,55.10,24.60,0.00,0.00,0.00,0.00,0.00
68.70,54.30,25.70,0.00,0.00,0.00,0.00,0.00
69.50,54.80,24.90,0.00,0.00,0.00,0.00,0.00
70.00,55.30,25.00,0.00,0.00,0.00,0.00,0.00
70.40,55.10,24.90,0.00,0.00,0.00,0.00,0.00
70.70,56.00,25.30,0.00,0.00,0.00,0.00,0.00
69.50,54.50,24.60,0.00,0.00,0.00,0.00,0.00
70.60,56.00,25.00,0.00,0.00,0.00,0.00,0.00
69.50,55.10,25.20,0.00,0.00,0.00,0.00,0.00
69.70,54.70,24.70,0.00,0.00,0.00,0.00,0.00
69.50,55.10,24.60,0.00,0.00,0.00,0.00,0.00
68.00,53.70,25.30,0.00,0.00,0.00,0.00,0.00
69.80,55.50,25.20,0.00,0.00,0.00,0.00,0.00
69.70,54.70,24.30,0.00,0.00,0.00,0.00,0.00
68.80,55.10,24.90,0.00,0.00,0.00,0.00,0.00
60.00,46.70,20.00,0.00,0.00,0.00,0.00,0.00
73.40,55.10,26.90,0.00,0.00,0.00,0.00,0.00
72.60,54.70,26.00,0.00,0.00,0.00,0.00,0.00
72.70,54.50,26.20,0.00,0.00,0.00,0.00,0.00
72.30,55.00,25.70,0.00,0.00,0.00,0.00,0.00
72.70,55.10,25.60,0.00,0.00,0.00,0.00,0.00
71.70,54.00,27.30,0.00,0.00,0.00,0.00,0.00
72.10,54.20,25.60,0.00,0.00,0.00,0.00,0.00
73.70,55.00,26.00,0.00,0.00,0.00,0.00,0.00
72.10,54.80,26.20,0.00,0.00,0.00,0.00,0.00
73.40,55.50,26.20,0.00,0.00,0.00,0.00,0.00
73.40,55.00,26.00,0.00,0.00,0.00,0.00,0.00
71.80,54.20,25.20,0.00,0.00,0.00,0.00,0.00
73.00,55.30,25.30,0.00,0.00,0.00,0.00,0.00
72.40,54.50,25.90,0.00,0.00,0.00,0.00,0.00
72.00,54.00,27.00,0.00,0.00,0.00,0.00,0.00
73.00,55.10,25.90,0.00,0.00,0.00,0.00,0.00
72.60,54.30,25.30,0.00,0.00,0.00,0.00,0.00
73.80,55.10,26.20,0.00,0.00,0.00,0.00,0.00
72.60,54.70,25.60,0.00,0.00,0.00,0.00,0.00
73.00,55.50,26.50,0.00,0.00,0.00,0.00,0.00
73.00,54.70,25.70,0.00,0.00,0.00,0.00,0.00
73.80,55.50,25.90,0.00,0.00,0.00,0.00,0.00
73.00,55.00,25.70,0.00,0.00,0.00,0.00,0.00
70.70,53.50,26.50,0.00,0.00,0.00,0.00,0.00
74.30,55.70,26.30,0.00,0.00,0.00,0.00,0.00
72.00,54.30,25.60,0.00,0.00,0.00,0.00,0.00
73.00,55.10,25.90,0.00,0.00,0.00,0.00,0.00
73.40,55.30,26.30,0.00,0.00,0.00,0.00,0.00
73.00,55.10,26.20,0.00,0.00,0.00,0.00,0.00
