#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
60.30,49.30,21.60,0.00,0.00,0.00,0.00,0.00
60.30,49.00,21.30,0.00,0.00,0.00,0.00,0.00
59.80,48.50,23.20,0.00,0.00,0.00,0.00,0.00
59.40,48.30,20.70,0.00,0.00,0.00,0.00,0.00
59.20,48.20,21.20,0.00,0.00,0.00,0.00,0.00
61.40,50.30,22.40,0.00,0.00,0.00,0.00,0.00
59.20,48.20,20.90,0.00,0.00,0.00,0.00,0.00
61.40,50.00,21.70,0.00,0.00,0.00,0.00,0.00
59.80,48.80,21.60,0.00,0.00,0.00,0.00,0.00
60.30,49.00,21.30,0.00,0.00,0.00,0.00,0.00
53.40,33.30,6.70,0.00,0.00,0.00,0.00,0.00
58.00,47.70,20.70,0.00,0.00,0.00,0.00,0.00
54.80,45.50,19.90,0.00,0.00,0.00,0.00,0.00
56.60,46.30,20.00,0.00,0.00,0.00,0.00,0.00
55.70,45.70,21.40,0.00,0.00,0.00,0.00,0.00
56.80,46.80,19.90,0.00,0.00,0.00,0.00,0.00
56.60,46.30,20.30,0.00,0.00,0.00,0.00,0.00
57.50,47.50,20.30,0.00,0.00,0.00,0.00,0.00
59.00,48.30,21.00,0.00,0.00,0.00,0.00,0.00
56.60,47.00,20.00,0.00,0.00,0.00,0.00,0.00
56.10,47.20,22.90,0.00,0.00,0.00,0.00,0.00
57.70,47.30,20.30,0.00,0.00,0.00,0.00,0.00
56.80,46.80,20.30,0.00,0.00,0.00,0.00,0.00
57.30,47.30,20.60,0.00,0.00,0.00,0.00,0.00
56.60,46.30,20.30,0.00,0.00,0.00,0.00,0.00
58.10,47.80,20.90,0.00,0.00,0.00,0.00,0.00
58.30,48.30,20.70,0.00,0.00,0.00,0.00,0.00
58.10,47.80,20.90,0.00,0.00,0.00,0.00,0.00
57.30,47.00,20.60,0.00,0.00,0.00,0.00,0.00
56.60,46.70,20.00,0.00,0.00,0.00,0.00,0.00
57.80,48.20,21.60,0.00,0.00,0.00,0.00,0.00
57.70,47.00,20.30,0.00,0.00,0.00,0.00,0.00
56.80,47.50,20.30,0.00,0.00,0.00,0.00,0.00
56.60,46.30,20.30,0.00,0.00,0.00,0.00,0.00
55.70,45.70,21.30,0.00,0.00,0.00,0.00,0.00
57.80,47.80,20.90,0.00,0.00,0.00,0.00,0.00
56.30,46.30,20.30,0.00,0.00,0.00,0.00,0.00
57.20,47.50,20.30,0.00,0.00,0.00,0.00,0.00
57.00,46.70,20.60,0.00,0.00,0.00,0.00,0.00
58.60,48.70,21.30,0.00,0.00,0.00,0.00,0.00
