#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
58.60,50.30,20.60,0.00,0.00,0.00,0.00,0.00
59.80,50.50,20.60,0.00,0.00,0.00,0.00,0.00
58.60,50.30,20.60,0.00,0.00,0.00,0.00,0.00
59.80,51.20,21.50,0.00,0.00,0.00,0.00,0.00
60.00,51.00,21.00,0.00,0.00,0.00,0.00,0.00
59.20,50.80,20.60,0.00,0.00,0.00,0.00,0.00
60.60,51.30,21.30,0.00,0.00,0.00,0.00,0.00
58.80,49.80,20.60,0.00,0.00,0.00,0.00,0.00
59.70,51.00,20.60,0.00,0.00,0.00,0.00,0.00
58.80,50.20,20.30,0.00,0.00,0.00,0.00,0.00
58.70,50.30,20.30,0.00,0.00,0.00,0.00,0.00
58.70,50.00,22.30,0.00,0.00,0.00,0.00,0.00
58.10,49.80,19.90,0.00,0.00,0.00,0.00,0.00
60.00,50.70,21.00,0.00,0.00,0.00,0.00,0.00
59.20,50.80,20.90,0.00,0.00,0.00,0.00,0.00
60.30,51.00,21.00,0.00,0.00,0.00,0.00,0.00
33.30,40.00,13.30,0.00,0.00,0.00,0.00,0.00
63.40,53.30,23.00,0.00,0.00,0.00,0.00,0.00
62.10,52.20,22.30,0.00,0.00,0.00,0.00,0.00
62.60,52.30,23.70,0.00,0.00,0.00,0.00,0.00
61.50,51.80,21.90,0.00,0.00,0.00,0.00,0.00
63.00,52.70,23.00,0.00,0.00,0.00,0.00,0.00
61.50,51.50,21.90,0.00,0.00,0.00,0.00,0.00
61.40,51.70,22.00,0.00,0.00,0.00,0.00,0.00
62.80,52.50,22.60,0.00,0.00,0.00,0.00,0.00
61.70,51.30,23.60,0.00,0.00,0.00,0.00,0.00
61.80,52.50,22.20,0.00,0.00,0.00,0.00,0.00
62.60,52.70,22.90,0.00,0.00,0.00,0.00,0.00
62.30,52.30,22.60,0.00,0.00,0.00,0.00,0.00
63.20,52.50,22.60,0.00,0.00,0.00,0.00,0.00
61.00,51.70,22.00,0.00,0.00,0.00,0.00,0.00
62.40,52.50,22.30,0.00,0.00,0.00,0.00,0.00
61.70,51.30,22.70,0.00,0.00,0.00,0.00,0.00
60.40,51.20,21.60,0.00,0.00,0.00,0.00,0.00
62.70,52.70,22.60,0.00,0.00,0.00,0.00,0.00
61.80,52.20,22.30,0.00,0.00,0.00,0.00,0.00
63.40,52.70,22.60,0.00,0.00,0.00,0.00,0.00
61.80,51.80,22.60,0.00,0.00,0.00,0.00,0.00
62.00,52.00,24.30,0.00,0.00,0.00,0.00,0.00
61.50,51.80,22.20,0.00,0.00,0.00,0.00,0.00
61.70,51.30,21.70,0.00,0.00,0.00,0.00,0.00
63.20,52.50,22.90,0.00,0.00,0.00,0.00,0.00
61.70,52.00,22.30,0.00,0.00,0.00,0.00,0.00
62.40,52.80,22.90,0.00,0.00,0.00,0.00,0.00
61.70,51.70,22.00,0.00,0.00,0.00,0.00,0.00
61.70,52.70,22.30,0.00,0.00,0.00,0.00,0.00
53.40,40.00,20.00,0.00,0.00,0.00,0.00,0.00
61.40,50.70,21.60,0.00,0.00,0.00,0.00,0.00
60.80,49.20,20.90,0.00,0.00,0.00,0.00,0.00
60.70,49.70,22.00,0.00,0.00,0.00,0.00,0.00
61.20,50.50,21.60,0.00,0.00,0.00,0.00,0.00
61.40,50.00,21.30,0.00,0.00,0.00,0.00,0.00
