#safe_timer,msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,taskfin_librbd
40.00,30.00,20.00,10.80,10.00,10.00,10.00,10.00
40.00,30.00,20.00,10.80,10.00,10.00,10.00,10.00
40.00,30.00,20.00,10.80,10.00,10.00,10.00,10.00
50.00,37.50,25.00,13.50,12.50,12.50,12.50,12.50
50.00,37.50,25.00,13.50,12.50,12.50,12.50,12.50
60.00,45.00,30.00,16.20,15.00,15.00,15.00,15.00
60.00,45.00,30.00,16.20,15.00,15.00,15.00,15.00
70.00,52.50,35.00,18.90,17.50,17.50,17.50,17.50
70.00,52.50,35.00,18.90,17.50,17.50,17.50,17.50
70.00,52.50,35.00,18.90,17.50,17.50,17.50,17.50
70.00,52.50,35.00,18.90,17.50,17.50,17.50,17.50
70.00,52.50,35.00,18.90,17.50,17.50,17.50,17.50
70.00,52.50,35.00,18.90,17.50,17.50,17.50,17.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.40,9.30,6.20,3.30,3.10,3.10,3.10,3.10
12.00,9.00,6.00,3.20,3.00,3.00,3.00,3.00
10.80,8.10,5.40,2.90,2.70,2.70,2.70,2.70
10.40,7.80,5.20,2.80,2.60,2.60,2.60,2.60
20.80,15.60,10.40,5.60,5.20,5.20,5.20,5.20
19.20,14.40,9.60,5.20,4.80,4.80,4.80,4.80
19.20,14.40,9.60,5.20,4.80,4.80,4.80,4.80
19.20,14.40,9.60,5.20,4.80,4.80,4.80,4.80
19.20,14.40,9.60,5.20,4.80,4.80,4.80,4.80
28.80,21.60,14.40,7.80,7.20,7.20,7.20,7.20
28.80,21.60,14.40,7.80,7.20,7.20,7.20,7.20
28.80,21.60,14.40,7.80,7.20,7.20,7.20,7.20
38.40,28.80,19.20,10.40,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.40,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.40,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.40,9.60,9.60,9.60,9.60
36.80,27.60,18.40,10.00,9.20,9.20,9.20,9.20
36.80,27.60,18.40,10.00,9.20,9.20,9.20,9.20
46.00,34.50,23.00,12.50,11.50,11.50,11.50,11.50
44.00,33.00,22.00,12.00,11.00,11.00,11.00,11.00
52.80,39.60,26.40,14.40,13.20,13.20,13.20,13.20
52.80,39.60,26.40,14.40,13.20,13.20,13.20,13.20
61.60,46.20,30.80,16.80,15.40,15.40,15.40,15.40
61.60,46.20,30.80,16.80,15.40,15.40,15.40,15.40
61.60,46.20,30.80,16.80,15.40,15.40,15.40,15.40
61.60,46.20,30.80,16.80,15.40,15.40,15.40,15.40
61.60,46.20,30.80,16.80,15.40,15.40,15.40,15.40
61.60,46.20,30.80,16.80,15.40,15.40,15.40,15.40
58.80,44.10,29.40,16.10,14.70,14.70,14.70,14.70
