#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
34.20,32.20,11.00,0.00,0.00,0.00,0.00,0.00
34.60,32.30,10.70,0.00,0.00,0.00,0.00,0.00
34.90,32.90,11.30,0.00,0.00,0.00,0.00,0.00
35.00,32.70,10.70,0.00,0.00,0.00,0.00,0.00
34.60,32.60,11.00,0.00,0.00,0.00,0.00,0.00
35.00,32.70,11.00,0.00,0.00,0.00,0.00,0.00
34.60,32.60,10.60,0.00,0.00,0.00,0.00,0.00
34.30,32.70,10.70,0.00,0.00,0.00,0.00,0.00
40.00,46.70,13.30,0.00,0.00,0.00,0.00,0.00
45.20,38.90,15.70,0.00,0.00,0.00,0.00,0.00
37.70,32.70,12.70,0.00,0.00,0.00,0.00,0.00
38.60,33.20,12.30,0.00,0.00,0.00,0.00,0.00
39.70,33.00,12.70,0.00,0.00,0.00,0.00,0.00
40.20,32.90,13.60,0.00,0.00,0.00,0.00,0.00
43.00,33.00,13.00,0.00,0.00,0.00,0.00,0.00
44.90,32.60,11.00,0.00,0.00,0.00,0.00,0.00
43.30,32.00,13.70,0.00,0.00,0.00,0.00,0.00
44.60,32.60,11.30,0.00,0.00,0.00,0.00,0.00
41.70,32.70,11.60,0.00,0.00,0.00,0.00,0.00
39.90,32.90,12.00,0.00,0.00,0.00,0.00,0.00
38.30,33.70,12.60,0.00,0.00,0.00,0.00,0.00
40.60,34.90,12.60,0.00,0.00,0.00,0.00,0.00
57.70,49.30,20.60,0.00,0.00,0.00,0.00,0.00
59.20,49.50,20.30,0.00,0.00,0.00,0.00,0.00
58.00,49.00,20.30,0.00,0.00,0.00,0.00,0.00
61.20,51.20,21.30,0.00,0.00,0.00,0.00,0.00
60.30,51.30,21.30,0.00,0.00,0.00,0.00,0.00
59.80,50.20,23.20,0.00,0.00,0.00,0.00,0.00
62.00,52.00,21.70,0.00,0.00,0.00,0.00,0.00
60.80,51.50,21.30,0.00,0.00,0.00,0.00,0.00
60.30,51.00,21.00,0.00,0.00,0.00,0.00,0.00
54.10,45.50,18.60,0.00,0.00,0.00,0.00,0.00
38.30,33.70,12.00,0.00,0.00,0.00,0.00,0.00
37.80,32.90,12.30,0.00,0.00,0.00,0.00,0.00
38.30,33.00,12.30,0.00,0.00,0.00,0.00,0.00
38.60,33.20,12.00,0.00,0.00,0.00,0.00,0.00
38.30,33.30,12.30,0.00,0.00,0.00,0.00,0.00
38.50,32.90,11.30,0.00,0.00,0.00,0.00,0.00
46.70,33.30,13.30,0.00,0.00,0.00,0.00,0.00
50.80,41.20,16.60,0.00,0.00,0.00,0.00,0.00
62.00,49.30,20.60,0.00,0.00,0.00,0.00,0.00
55.80,45.80,19.60,0.00,0.00,0.00,0.00,0.00
59.00,48.00,20.00,0.00,0.00,0.00,0.00,0.00
64.80,52.50,22.60,0.00,0.00,0.00,0.00,0.00
63.00,50.70,22.00,0.00,0.00,0.00,0.00,0.00
63.80,51.80,21.90,0.00,0.00,0.00,0.00,0.00
63.40,52.00,23.90,0.00,0.00,0.00,0.00,0.00
63.80,51.80,21.90,0.00,0.00,0.00,0.00,0.00
65.00,52.30,22.00,0.00,0.00,0.00,0.00,0.00
65.10,51.80,21.90,0.00,0.00,0.00,0.00,0.00
63.70,51.70,22.00,0.00,0.00,0.00,0.00,0.00
65.80,51.80,21.90,0.00,0.00,0.00,0.00,0.00
