#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
66.80,53.20,23.90,0.00,0.00,0.00,0.00,0.00
67.00,53.30,24.00,0.00,0.00,0.00,0.00,0.00
67.50,54.20,24.50,0.00,0.00,0.00,0.00,0.00
66.60,52.70,24.00,0.00,0.00,0.00,0.00,0.00
67.50,53.80,24.20,0.00,0.00,0.00,0.00,0.00
66.00,52.30,25.00,0.00,0.00,0.00,0.00,0.00
66.10,52.80,23.90,0.00,0.00,0.00,0.00,0.00
66.60,53.30,20.00,0.00,0.00,0.00,0.00,0.00
68.60,53.00,25.30,0.00,0.00,0.00,0.00,0.00
68.40,53.20,24.90,0.00,0.00,0.00,0.00,0.00
70.00,54.00,24.70,0.00,0.00,0.00,0.00,0.00
68.40,53.20,24.90,0.00,0.00,0.00,0.00,0.00
68.60,53.00,24.30,0.00,0.00,0.00,0.00,0.00
68.40,52.50,25.90,0.00,0.00,0.00,0.00,0.00
68.60,53.70,24.60,0.00,0.00,0.00,0.00,0.00
69.50,53.80,24.60,0.00,0.00,0.00,0.00,0.00
69.70,54.00,24.60,0.00,0.00,0.00,0.00,0.00
69.20,53.20,24.60,0.00,0.00,0.00,0.00,0.00
70.30,54.00,25.00,0.00,0.00,0.00,0.00,0.00
68.80,53.50,24.60,0.00,0.00,0.00,0.00,0.00
70.00,54.00,24.70,0.00,0.00,0.00,0.00,0.00
69.20,53.20,25.20,0.00,0.00,0.00,0.00,0.00
69.20,53.50,24.20,0.00,0.00,0.00,0.00,0.00
68.00,52.30,25.90,0.00,0.00,0.00,0.00,0.00
68.80,53.20,24.30,0.00,0.00,0.00,0.00,0.00
69.00,54.00,24.60,0.00,0.00,0.00,0.00,0.00
68.10,52.80,24.60,0.00,0.00,0.00,0.00,0.00
69.70,53.70,25.00,0.00,0.00,0.00,0.00,0.00
69.80,53.50,24.60,0.00,0.00,0.00,0.00,0.00
69.00,53.70,24.60,0.00,0.00,0.00,0.00,0.00
68.80,52.80,24.60,0.00,0.00,0.00,0.00,0.00
69.00,53.70,24.60,0.00,0.00,0.00,0.00,0.00
68.80,53.20,24.30,0.00,0.00,0.00,0.00,0.00
67.00,52.30,25.60,0.00,0.00,0.00,0.00,0.00
68.80,53.20,24.90,0.00,0.00,0.00,0.00,0.00
68.60,53.70,25.00,0.00,0.00,0.00,0.00,0.00
68.40,53.20,23.90,0.00,0.00,0.00,0.00,0.00
50.00,43.80,18.80,0.00,0.00,0.00,0.00,0.00
72.30,53.30,26.30,0.00,0.00,0.00,0.00,0.00
72.40,53.50,24.30,0.00,0.00,0.00,0.00,0.00
73.40,54.30,25.60,0.00,0.00,0.00,0.00,0.00
72.40,53.50,24.60,0.00,0.00,0.00,0.00,0.00
72.30,53.30,25.30,0.00,0.00,0.00,0.00,0.00
70.40,52.20,25.50,0.00,0.00,0.00,0.00,0.00
72.30,53.30,25.60,0.00,0.00,0.00,0.00,0.00
73.00,54.20,25.20,0.00,0.00,0.00,0.00,0.00
72.00,53.70,25.30,0.00,0.00,0.00,0.00,0.00
72.40,54.20,25.50,0.00,0.00,0.00,0.00,0.00
72.30,53.70,25.60,0.00,0.00,0.00,0.00,0.00
71.70,53.80,24.60,0.00,0.00,0.00,0.00,0.00
73.00,54.30,25.60,0.00,0.00,0.00,0.00,0.00
71.40,52.80,24.60,0.00,0.00,0.00,0.00,0.00
73.00,52.30,25.00,0.00,0.00,0.00,0.00,0.00
70.10,52.20,26.20,0.00,0.00,0.00,0.00,0.00
73.00,54.00,24.70,0.00,0.00,0.00,0.00,0.00
72.70,53.80,25.80,0.00,0.00,0.00,0.00,0.00
72.00,53.70,25.00,0.00,0.00,0.00,0.00,0.00
72.10,53.50,25.90,0.00,0.00,0.00,0.00,0.00
71.70,53.30,25.00,0.00,0.00,0.00,0.00,0.00
72.10,53.80,25.50,0.00,0.00,0.00,0.00,0.00
71.40,53.70,25.00,0.00,0.00,0.00,0.00,0.00
71.80,53.20,25.20,0.00,0.00,0.00,0.00,0.00
70.00,52.30,26.30,0.00,0.00,0.00,0.00,0.00
70.70,53.50,24.90,0.00,0.00,0.00,0.00,0.00
72.60,53.70,26.00,0.00,0.00,0.00,0.00,0.00
71.00,53.50,24.90,0.00,0.00,0.00,0.00,0.00
71.40,53.00,25.30,0.00,0.00,0.00,0.00,0.00
